variant_name,impressions,clicks,cost,device,location,user_segment,hour
B,3475,2988,24.34,mobile,CAN,premium,4
C,2640,2252,13.8,tablet,CAN,premium,14
A,171,396,43.06,mobile,USA,premium,3
A,882,2420,47.24,mobile,USA,free,12
B,1348,192,27.34,desktop,JPN,free,17
C,2592,1233,10.14,tablet,DEU,free,13
A,2483,2978,49.74,desktop,CAN,free,13
A,4081,524,39.94,desktop,USA,free,19
C,2749,954,40.77,desktop,JPN,new_user,14
C,3940,97,22.3,desktop,CAN,premium,15
A,4302,1529,42.68,mobile,CAN,returning_user,18
A,857,1548,14.31,desktop,JPN,returning_user,9
A,3013,470,43.84,desktop,CAN,free,8
B,4282,2462,44.59,mobile,CAN,returning_user,10
B,3049,2890,9.47,tablet,DEU,new_user,16
A,1347,1521,37.66,desktop,DEU,returning_user,12
C,803,1707,49.37,desktop,BRA,premium,23
B,1144,1735,32.36,tablet,CAN,free,16
B,2943,949,27.34,mobile,BRA,new_user,1
B,692,1193,9.72,desktop,JPN,free,9
B,4265,2388,39.37,mobile,DEU,returning_user,18
A,4829,2615,10.53,tablet,BRA,premium,9
B,2367,2367,21.03,mobile,DEU,free,21
B,362,417,27.96,mobile,BRA,new_user,4
A,1023,404,38.29,tablet,DEU,free,22
A,4004,1476,35.02,mobile,DEU,premium,20
A,1531,2409,43.64,tablet,USA,free,22
C,916,652,36.52,desktop,USA,returning_user,22
A,4786,2279,23.4,desktop,JPN,free,13
C,224,1528,43.24,mobile,DEU,returning_user,15
B,1782,535,48.33,mobile,CAN,free,2
C,2826,2063,48.45,mobile,JPN,free,16
A,3196,2270,49.61,desktop,CAN,returning_user,12
B,4044,2664,19.03,tablet,USA,new_user,2
B,3171,2516,18.62,mobile,JPN,new_user,15
C,3730,1875,42.06,desktop,CAN,new_user,4
B,1675,301,42.01,tablet,CAN,returning_user,15
C,2695,1241,27.58,tablet,CAN,free,5
B,2158,1409,44.79,desktop,BRA,free,17
C,2023,70,27.43,tablet,USA,returning_user,0
B,337,153,18.86,mobile,JPN,returning_user,0
B,3341,1941,48.28,tablet,BRA,free,0
A,1391,289,45.17,mobile,USA,free,17
B,3515,2320,13.01,desktop,CAN,free,15
C,1065,574,8.46,desktop,BRA,returning_user,9
A,1616,1766,21.09,desktop,BRA,new_user,2
A,666,2094,40.71,tablet,BRA,free,20
B,3568,311,10.04,desktop,CAN,new_user,10
C,1196,635,32.13,mobile,JPN,new_user,16
B,2920,2085,12.93,tablet,CAN,free,13
B,4665,340,12.94,desktop,BRA,free,21
B,2512,116,35.85,mobile,DEU,free,18
A,3615,2400,39.13,desktop,DEU,returning_user,18
C,2960,2330,1.53,desktop,USA,free,17
A,1305,156,9.93,mobile,JPN,new_user,16
C,2551,1099,14.78,desktop,JPN,premium,23
C,2197,1119,44.74,desktop,USA,free,5
A,4496,1983,38.98,desktop,CAN,free,16
B,4043,2593,20.66,mobile,CAN,premium,6
A,384,2719,41.52,desktop,DEU,returning_user,4
A,2181,1266,29.48,desktop,BRA,premium,0
C,3659,1734,31.23,mobile,CAN,premium,7
A,2291,2995,33.97,desktop,CAN,returning_user,14
A,4266,2799,34.0,tablet,BRA,returning_user,19
A,2641,400,43.14,mobile,JPN,free,6
B,1194,2763,17.4,mobile,JPN,new_user,22
B,2696,528,24.09,desktop,BRA,returning_user,14
B,404,2806,33.5,desktop,CAN,free,6
B,4342,198,33.07,desktop,CAN,free,13
B,1331,1461,18.48,mobile,DEU,new_user,5
A,3844,2337,8.28,tablet,CAN,returning_user,16
C,3368,2753,22.72,mobile,JPN,new_user,9
B,2503,2074,29.13,desktop,JPN,premium,21
C,3385,1825,37.89,desktop,USA,premium,3
B,3080,360,19.5,tablet,USA,free,21
B,861,730,28.49,mobile,CAN,premium,9
C,2282,1264,4.22,tablet,BRA,free,14
A,752,2022,25.66,mobile,JPN,new_user,1
A,2785,2902,11.55,desktop,CAN,premium,9
B,4680,286,27.34,desktop,JPN,premium,4
C,1935,724,25.21,tablet,JPN,new_user,10
A,2601,1151,27.61,desktop,BRA,premium,2
B,3490,1270,45.36,mobile,CAN,free,0
C,835,1118,19.72,mobile,BRA,returning_user,14
A,2473,911,45.89,mobile,DEU,premium,12
B,2810,27,9.38,tablet,BRA,premium,1
A,4407,2288,11.87,mobile,JPN,free,1
A,2175,1099,37.14,desktop,USA,returning_user,15
B,2295,1118,3.6,mobile,DEU,premium,15
B,1141,143,15.41,tablet,JPN,free,19
A,3269,2685,21.8,mobile,DEU,returning_user,6
A,1542,1813,42.39,mobile,JPN,returning_user,13
C,2840,131,47.85,mobile,JPN,new_user,16
C,1984,2335,33.61,tablet,DEU,premium,8
C,4199,2393,7.53,mobile,CAN,premium,15
A,1492,2773,3.76,tablet,JPN,returning_user,2
A,694,1290,40.18,tablet,JPN,free,19
A,386,1382,3.23,desktop,DEU,returning_user,19
A,4563,2299,23.3,tablet,JPN,returning_user,17
A,2654,2151,20.95,desktop,BRA,free,0
C,4944,1927,35.36,mobile,CAN,returning_user,20
C,1219,2024,46.82,mobile,DEU,free,1
C,4441,542,1.1,tablet,CAN,free,18
B,962,1107,34.31,tablet,JPN,returning_user,6
A,3833,429,17.53,mobile,DEU,returning_user,23
C,4004,2963,17.38,mobile,DEU,new_user,17
C,224,1655,11.03,mobile,JPN,free,8
C,2537,1996,22.28,mobile,CAN,premium,20
B,2979,2861,35.44,tablet,BRA,new_user,18
A,3807,2296,4.23,tablet,JPN,free,10
C,1989,657,31.69,tablet,CAN,free,4
C,1980,143,21.71,mobile,JPN,new_user,23
A,2306,2917,11.46,desktop,JPN,premium,19
A,2294,2965,17.59,tablet,BRA,new_user,22
C,1202,1979,34.94,desktop,DEU,new_user,13
B,3473,10,48.2,mobile,JPN,free,3
C,3750,2866,3.29,desktop,JPN,new_user,9
A,408,1733,44.8,desktop,USA,new_user,21
A,3980,882,27.91,desktop,USA,returning_user,6
A,4705,291,49.23,mobile,USA,free,7
B,1836,2720,28.57,tablet,JPN,premium,20
B,3743,114,10.54,desktop,JPN,new_user,15
C,843,642,33.29,tablet,CAN,new_user,1
B,1828,1739,34.55,desktop,JPN,premium,5
B,589,678,1.1,tablet,CAN,premium,1
C,1308,2662,43.04,desktop,BRA,premium,4
C,4649,523,24.52,mobile,USA,free,12
B,3914,343,41.96,desktop,JPN,free,0
C,4171,1913,19.68,tablet,BRA,returning_user,19
B,3821,1107,42.12,desktop,CAN,free,18
B,4718,2019,40.45,desktop,JPN,returning_user,11
B,739,2817,5.33,mobile,CAN,premium,22
B,4162,2426,19.97,mobile,DEU,free,14
A,408,1627,38.94,mobile,JPN,returning_user,1
A,1004,2185,40.11,desktop,BRA,returning_user,10
C,1125,1193,14.4,tablet,JPN,new_user,21
A,1097,965,25.95,mobile,BRA,free,0
C,4282,289,18.67,mobile,USA,new_user,12
B,2643,2231,22.99,tablet,JPN,free,5
B,1699,642,21.5,desktop,JPN,premium,17
C,2910,70,42.85,desktop,BRA,free,21
C,1040,2257,22.41,mobile,USA,free,8
C,1524,495,42.74,tablet,USA,free,23
A,4246,2783,40.13,mobile,BRA,returning_user,1
B,941,1356,31.0,tablet,DEU,returning_user,20
B,3655,2197,42.07,tablet,BRA,returning_user,14
A,3128,1726,27.18,tablet,CAN,premium,3
C,4824,326,41.49,tablet,BRA,premium,19
B,3301,2254,23.62,tablet,JPN,new_user,10
C,1433,416,29.2,tablet,JPN,premium,20
B,1275,2331,11.05,desktop,CAN,new_user,10
A,4017,1441,27.81,desktop,BRA,free,12
B,1403,1712,17.08,mobile,BRA,returning_user,17
C,3513,1507,1.54,mobile,CAN,returning_user,11
A,2956,1769,31.72,desktop,DEU,returning_user,4
B,2656,1330,45.71,mobile,USA,premium,1
A,3108,1377,25.14,mobile,BRA,returning_user,3
C,3573,736,48.74,tablet,USA,returning_user,9
A,1647,1192,20.55,tablet,USA,free,4
B,1916,1615,1.53,tablet,DEU,new_user,16
B,705,461,4.18,desktop,DEU,new_user,16
C,1669,1627,25.93,desktop,JPN,premium,20
B,4235,653,44.09,mobile,USA,free,1
A,1054,327,42.03,tablet,USA,new_user,0
A,356,60,33.9,mobile,BRA,free,0
C,438,526,27.5,mobile,CAN,new_user,9
C,369,2555,42.49,desktop,DEU,returning_user,22
A,2298,2580,34.87,mobile,DEU,premium,21
B,1914,1142,3.71,mobile,DEU,new_user,7
C,787,193,19.83,tablet,USA,returning_user,2
C,1974,608,44.22,mobile,JPN,new_user,7
A,301,2526,21.1,mobile,DEU,returning_user,13
A,2231,2258,27.2,tablet,USA,returning_user,12
A,4203,629,8.0,tablet,DEU,premium,13
C,3580,641,16.47,mobile,USA,free,7
C,2243,2881,18.48,tablet,BRA,new_user,0
A,2768,251,27.8,tablet,BRA,new_user,8
B,2953,835,10.16,tablet,BRA,premium,1
C,3280,914,15.53,tablet,USA,premium,0
A,1675,2524,37.97,mobile,JPN,premium,21
B,3487,2820,34.76,tablet,CAN,premium,9
A,697,2774,22.62,tablet,JPN,premium,12
C,4657,2181,17.83,desktop,BRA,premium,6
A,1509,1574,49.3,desktop,USA,premium,8
A,2454,684,16.7,mobile,DEU,premium,2
C,3195,1356,42.24,mobile,BRA,new_user,3
B,2330,1844,40.61,desktop,JPN,free,3
B,4504,2075,39.81,mobile,BRA,free,21
C,3158,2856,35.7,desktop,CAN,free,22
A,925,1116,34.18,mobile,BRA,returning_user,18
A,233,887,23.76,mobile,USA,new_user,17
C,882,2039,10.2,mobile,CAN,new_user,17
C,1202,2084,34.29,tablet,DEU,free,15
A,2628,263,33.24,mobile,DEU,premium,7
C,4469,2459,26.97,desktop,BRA,new_user,6
A,2010,682,39.54,tablet,CAN,free,11
B,2749,2799,44.35,desktop,BRA,new_user,10
A,4116,2757,14.8,tablet,BRA,free,7
A,4325,2638,24.33,tablet,CAN,premium,12
B,523,1498,46.04,desktop,BRA,new_user,0
A,3927,680,12.62,desktop,USA,premium,4
A,2602,1247,47.12,desktop,USA,premium,4
A,156,54,9.53,mobile,CAN,free,5
A,3391,2925,39.15,tablet,JPN,free,3
A,4972,647,47.97,desktop,BRA,returning_user,10
A,4971,726,47.79,desktop,DEU,returning_user,19
B,4585,1005,31.97,desktop,DEU,free,15
A,3682,1519,3.53,mobile,DEU,new_user,10
B,2608,1863,20.1,desktop,DEU,free,1
A,3492,166,29.4,mobile,DEU,new_user,7
C,3574,2868,16.77,mobile,BRA,free,13
A,1369,1504,36.6,desktop,BRA,free,1
B,3018,1478,37.94,mobile,BRA,returning_user,12
B,3568,2442,13.67,mobile,JPN,returning_user,3
C,3671,2297,15.18,mobile,DEU,returning_user,18
C,538,1393,37.17,desktop,BRA,new_user,15
B,211,885,4.12,mobile,BRA,premium,9
B,733,1501,25.35,desktop,JPN,free,15
B,1608,1584,6.42,desktop,CAN,returning_user,5
A,3795,1114,11.36,desktop,BRA,returning_user,15
C,3009,2930,39.01,desktop,JPN,new_user,16
B,4166,2375,10.04,tablet,USA,free,23
A,4093,2737,21.77,mobile,USA,returning_user,21
C,305,2529,13.34,tablet,USA,free,12
A,123,2658,9.95,tablet,BRA,returning_user,5
B,4755,2692,11.64,desktop,JPN,returning_user,20
A,953,497,30.08,mobile,USA,premium,0
B,2473,1111,44.68,mobile,JPN,new_user,4
B,4022,896,27.5,desktop,JPN,premium,7
B,416,2864,40.04,mobile,BRA,premium,23
B,518,2907,32.42,desktop,JPN,premium,16
A,4010,531,20.45,desktop,CAN,returning_user,21
C,3603,2213,33.27,mobile,JPN,new_user,4
B,2711,530,40.8,desktop,DEU,premium,16
B,2320,504,1.23,desktop,BRA,premium,18
A,868,2077,28.48,mobile,DEU,premium,17
C,3215,2352,45.22,mobile,BRA,returning_user,4
C,4035,2583,16.56,tablet,DEU,free,17
C,261,1617,5.34,mobile,BRA,free,13
A,3733,2815,39.31,mobile,JPN,free,6
C,4333,129,28.37,tablet,CAN,new_user,16
C,799,759,40.38,mobile,DEU,new_user,8
C,650,1141,6.78,desktop,USA,returning_user,2
B,3516,2001,8.4,mobile,USA,returning_user,5
A,3116,1,47.66,desktop,CAN,premium,20
B,761,283,34.97,tablet,CAN,returning_user,8
A,2993,1812,24.63,mobile,BRA,premium,21
A,2525,730,28.88,desktop,DEU,new_user,11
C,3665,2404,27.28,desktop,USA,free,6
B,4500,1676,44.92,tablet,DEU,returning_user,1
A,2189,1626,37.18,tablet,JPN,new_user,20
A,1479,2545,42.54,tablet,CAN,new_user,3
C,1332,133,27.88,tablet,USA,free,11
B,751,2408,4.42,desktop,JPN,returning_user,10
B,4690,656,29.39,mobile,CAN,returning_user,8
A,2647,303,3.02,desktop,CAN,premium,18
B,1324,401,28.63,tablet,CAN,free,13
B,2246,806,25.75,desktop,USA,new_user,6
C,871,2161,19.62,desktop,CAN,new_user,22
A,2205,298,28.55,tablet,DEU,new_user,1
A,2790,2641,15.38,tablet,CAN,premium,10
A,3948,587,15.19,desktop,CAN,free,14
C,2675,1939,33.41,tablet,JPN,returning_user,0
A,3483,140,11.41,mobile,USA,returning_user,18
B,3814,2799,29.25,tablet,BRA,free,11
B,4762,2079,27.25,tablet,CAN,new_user,7
C,4260,2901,46.56,tablet,CAN,new_user,5
A,2090,785,3.09,mobile,CAN,premium,15
A,2693,768,9.79,mobile,USA,premium,8
B,2067,2499,33.26,tablet,USA,new_user,3
A,1519,82,2.97,mobile,JPN,free,20
A,3033,149,39.7,mobile,USA,returning_user,22
A,1191,108,41.26,mobile,JPN,new_user,16
B,3881,2831,4.09,mobile,JPN,returning_user,20
A,798,2783,16.45,mobile,BRA,free,21
B,4997,2625,26.2,mobile,USA,returning_user,19
A,652,668,26.46,desktop,USA,returning_user,5
B,437,1304,11.78,tablet,CAN,premium,7
B,418,396,44.99,tablet,CAN,new_user,16
B,628,1131,12.56,mobile,BRA,premium,2
B,1135,1364,15.8,mobile,JPN,free,1
C,1246,1864,49.39,desktop,DEU,returning_user,8
A,3100,1348,27.63,tablet,DEU,returning_user,1
A,3395,2156,42.03,desktop,CAN,premium,4
B,1916,2547,9.11,desktop,USA,premium,2
A,1719,482,14.79,desktop,USA,free,10
C,3940,2752,22.64,tablet,CAN,returning_user,2
C,3304,396,37.09,mobile,BRA,returning_user,3
B,2173,237,44.57,desktop,JPN,free,1
C,1455,293,0.26,desktop,CAN,new_user,10
C,4559,10,14.71,mobile,JPN,premium,21
A,176,2446,47.29,desktop,JPN,returning_user,10
B,4321,810,25.01,mobile,JPN,new_user,3
A,4318,2625,38.37,mobile,DEU,premium,22
B,1427,2462,39.21,mobile,BRA,new_user,0
C,3818,1828,29.94,tablet,CAN,free,6
C,4091,287,45.72,mobile,CAN,new_user,3
C,646,1261,6.43,desktop,JPN,returning_user,12
C,4020,1317,30.54,mobile,DEU,free,16
B,3644,2065,42.59,mobile,BRA,returning_user,18
A,2389,627,28.24,mobile,JPN,free,7
A,4386,152,41.28,mobile,DEU,returning_user,10
B,4935,2990,44.1,mobile,CAN,free,19
B,2750,1112,24.74,mobile,CAN,free,11
C,746,1476,13.2,tablet,BRA,free,6
C,1827,2096,40.19,tablet,DEU,new_user,22
C,4499,316,5.96,tablet,USA,new_user,10
C,2839,2463,15.61,desktop,DEU,new_user,11
C,3288,57,48.19,desktop,JPN,returning_user,19
A,3425,103,42.54,desktop,JPN,free,19
C,599,1859,7.43,desktop,USA,free,6
C,4358,1730,20.05,mobile,DEU,new_user,19
C,2370,1613,34.8,tablet,DEU,premium,18
A,2784,920,22.7,mobile,BRA,free,14
A,4816,2869,46.46,mobile,BRA,free,18
B,3712,1151,12.67,mobile,USA,returning_user,0
C,3867,1871,13.53,mobile,CAN,new_user,9
B,574,218,42.37,desktop,BRA,returning_user,22
B,1166,2437,31.0,tablet,USA,returning_user,23
C,168,690,10.83,desktop,DEU,returning_user,9
B,3155,557,23.64,tablet,JPN,free,18
B,491,1986,11.39,desktop,USA,free,15
C,3590,2988,25.11,mobile,USA,free,8
A,4693,1377,17.57,tablet,JPN,free,5
C,3383,1577,7.35,tablet,USA,free,10
C,1598,1039,0.46,mobile,CAN,free,1
B,138,1135,0.72,tablet,DEU,free,19
B,4623,2650,32.17,desktop,DEU,new_user,18
C,3067,1814,44.95,mobile,JPN,premium,14
A,472,2098,36.67,mobile,DEU,free,18
B,110,1885,14.21,desktop,BRA,returning_user,8
A,3559,758,8.52,desktop,USA,new_user,2
C,1442,2016,21.64,tablet,USA,new_user,20
C,2509,626,49.95,mobile,CAN,returning_user,9
B,293,2940,47.85,tablet,JPN,new_user,19
A,3137,673,22.73,desktop,DEU,new_user,10
B,3594,135,45.97,tablet,CAN,returning_user,16
B,2211,1880,24.53,desktop,JPN,returning_user,3
C,2313,416,16.65,tablet,BRA,new_user,10
C,290,2963,30.77,mobile,BRA,free,16
C,1266,855,3.81,desktop,CAN,new_user,16
B,1589,1480,21.1,mobile,USA,new_user,4
B,3086,2570,3.66,mobile,DEU,premium,12
B,1709,2533,35.47,desktop,BRA,premium,21
A,4673,521,44.24,tablet,USA,free,21
A,926,89,31.04,tablet,DEU,free,4
B,4349,1072,37.89,desktop,USA,new_user,12
C,2983,2692,22.7,desktop,USA,premium,1
A,3550,645,34.25,desktop,JPN,new_user,18
C,2442,266,24.26,tablet,CAN,new_user,22
A,3590,958,37.82,tablet,DEU,premium,3
B,4050,620,4.39,tablet,DEU,premium,9
A,1403,543,20.67,mobile,USA,free,11
A,2605,894,22.11,tablet,USA,new_user,17
B,3197,969,26.35,desktop,DEU,free,13
A,2843,1118,38.6,mobile,BRA,new_user,4
A,2086,2147,47.69,tablet,USA,free,13
B,2297,1109,41.89,mobile,USA,new_user,6
A,3890,180,2.99,mobile,USA,new_user,11
C,2285,2228,38.79,tablet,BRA,free,0
B,1023,1967,17.54,tablet,CAN,returning_user,0
A,1624,1376,46.63,tablet,CAN,new_user,7
A,4660,168,17.79,tablet,USA,premium,17
A,1903,1698,23.64,mobile,USA,returning_user,14
C,2341,2084,26.53,tablet,JPN,returning_user,22
C,1804,353,2.72,mobile,CAN,premium,9
C,1617,2380,39.96,tablet,JPN,new_user,9
A,1965,2998,7.39,tablet,CAN,returning_user,14
C,4716,1079,35.23,tablet,DEU,premium,9
A,2852,1159,11.13,tablet,JPN,premium,2
C,572,2886,8.99,tablet,BRA,returning_user,17
A,3864,684,40.27,tablet,BRA,new_user,14
B,2929,1091,33.64,mobile,JPN,returning_user,6
B,2559,1477,38.7,mobile,JPN,returning_user,8
A,1832,1095,7.83,mobile,CAN,new_user,16
A,2310,238,6.34,mobile,USA,new_user,1
C,4138,2557,18.38,tablet,CAN,new_user,16
C,4910,1317,42.01,mobile,DEU,returning_user,2
A,1150,2452,6.84,tablet,JPN,new_user,8
B,1524,150,20.9,tablet,CAN,premium,21
A,379,1170,12.89,mobile,BRA,premium,10
A,4596,2733,45.35,tablet,CAN,premium,9
A,4571,242,16.57,tablet,JPN,premium,6
B,2498,1833,6.85,mobile,USA,premium,20
A,2092,261,32.52,tablet,BRA,free,5
C,4887,1754,34.36,tablet,BRA,premium,12
A,222,1074,1.04,tablet,CAN,free,1
A,1528,1224,33.09,mobile,BRA,premium,7
C,2177,634,1.64,mobile,DEU,new_user,15
C,1993,1844,30.25,desktop,CAN,returning_user,21
B,950,2825,43.06,mobile,CAN,returning_user,21
B,2844,1196,32.89,mobile,JPN,premium,21
C,1943,439,7.84,tablet,BRA,returning_user,5
B,619,1496,43.06,desktop,BRA,returning_user,12
A,4039,675,21.2,desktop,BRA,premium,1
C,709,21,0.52,desktop,JPN,premium,2
A,2632,1686,43.33,tablet,JPN,premium,21
A,172,1666,0.5,tablet,CAN,new_user,9
C,376,1829,32.79,desktop,USA,free,3
B,843,2605,43.0,mobile,BRA,returning_user,22
B,975,2732,43.37,tablet,USA,returning_user,14
C,2875,2252,14.88,desktop,DEU,returning_user,17
B,4626,2698,5.24,desktop,DEU,returning_user,10
C,4010,1569,43.18,desktop,DEU,premium,2
B,3198,2500,33.04,desktop,BRA,returning_user,8
B,204,278,6.96,mobile,USA,premium,3
B,464,708,42.0,mobile,DEU,returning_user,2
B,4189,1847,34.93,tablet,JPN,new_user,20
A,339,401,35.92,desktop,DEU,premium,17
A,2998,1144,43.57,mobile,USA,returning_user,7
C,3945,2648,48.23,tablet,BRA,free,4
A,2433,475,2.96,desktop,USA,premium,5
A,3916,1479,36.15,tablet,JPN,premium,11
B,181,1326,3.22,tablet,DEU,free,1
A,1718,2618,35.49,tablet,USA,premium,8
B,2230,1550,31.64,mobile,JPN,premium,7
A,1740,2827,17.5,tablet,JPN,new_user,2
A,749,1022,14.35,tablet,CAN,premium,11
C,2233,264,46.6,mobile,DEU,new_user,14
A,2761,2268,35.43,tablet,JPN,returning_user,18
C,4398,1671,38.42,mobile,DEU,returning_user,9
C,1106,2562,40.99,desktop,USA,returning_user,3
B,2101,2792,8.68,tablet,USA,premium,17
A,2496,304,27.51,mobile,JPN,premium,19
A,902,1063,6.16,tablet,JPN,returning_user,5
A,2688,2237,13.03,mobile,BRA,premium,9
C,320,850,23.42,mobile,JPN,returning_user,12
A,3623,2543,14.25,desktop,DEU,returning_user,20
C,2068,1976,8.47,tablet,CAN,free,5
C,384,659,45.58,desktop,USA,returning_user,23
B,2724,1518,43.45,desktop,DEU,new_user,18
A,3728,1495,11.66,mobile,CAN,free,6
B,3648,1063,0.59,tablet,BRA,new_user,20
B,3910,1065,46.3,tablet,CAN,free,14
B,1118,2658,5.94,tablet,BRA,new_user,12
A,615,930,9.5,tablet,JPN,returning_user,12
A,553,1866,10.99,mobile,USA,returning_user,9
C,2013,45,28.93,mobile,CAN,premium,6
B,2196,842,27.58,tablet,USA,new_user,4
C,897,1620,36.66,mobile,JPN,returning_user,20
A,743,544,47.9,desktop,BRA,returning_user,4
A,4595,2493,39.99,mobile,BRA,new_user,7
C,2849,2304,3.22,tablet,JPN,returning_user,13
C,2774,2341,12.21,tablet,CAN,returning_user,21
B,2766,1930,45.29,mobile,BRA,returning_user,10
B,4829,1511,9.86,tablet,CAN,returning_user,11
A,963,1197,33.33,desktop,JPN,new_user,7
B,2013,979,26.86,desktop,JPN,new_user,16
B,2579,2316,25.03,mobile,USA,premium,12
B,823,2513,22.33,mobile,BRA,premium,17
C,962,2846,25.57,desktop,DEU,new_user,17
B,1447,2634,6.29,mobile,CAN,free,2
A,1169,1618,45.89,tablet,BRA,returning_user,12
B,4104,2065,44.94,desktop,JPN,returning_user,4
A,1909,2301,9.59,desktop,JPN,premium,21
A,2091,237,40.02,mobile,USA,returning_user,7
B,2431,2337,29.74,mobile,CAN,free,3
C,4689,2963,36.61,tablet,BRA,free,11
C,2865,1021,28.84,tablet,USA,new_user,2
B,2032,1137,1.38,tablet,CAN,new_user,20
A,838,2488,11.11,tablet,CAN,new_user,9
B,4391,1541,49.99,desktop,DEU,returning_user,10
A,3459,1411,17.31,tablet,BRA,premium,18
A,1948,1986,47.24,desktop,USA,free,23
C,123,1206,21.21,mobile,USA,returning_user,23
C,4243,2921,40.23,tablet,DEU,returning_user,14
B,4675,1022,15.83,desktop,JPN,returning_user,7
A,2845,1591,7.01,desktop,DEU,free,15
B,738,1781,45.76,tablet,BRA,new_user,16
C,1344,967,20.72,mobile,CAN,free,9
C,4109,1576,15.68,desktop,CAN,premium,6
C,2667,2329,34.7,mobile,CAN,premium,1
A,4643,295,44.07,desktop,USA,premium,21
B,3184,2835,26.09,desktop,DEU,returning_user,12
C,2629,606,8.42,desktop,CAN,premium,23
C,346,428,17.86,mobile,USA,premium,13
B,3348,312,21.35,mobile,JPN,new_user,23
B,4178,669,35.87,tablet,CAN,returning_user,9
A,4348,2136,38.93,tablet,USA,premium,1
A,3286,1927,49.27,mobile,JPN,free,6
C,1817,2592,3.29,mobile,USA,new_user,13
A,1043,2297,47.42,tablet,BRA,new_user,18
C,3499,1078,20.33,tablet,BRA,new_user,20
A,3304,2590,13.98,tablet,JPN,new_user,16
B,777,2827,18.8,mobile,JPN,free,7
A,3998,2356,0.22,mobile,DEU,returning_user,10
B,2738,2457,36.7,tablet,JPN,premium,19
B,3401,1282,12.57,desktop,JPN,free,8
C,2091,493,11.59,mobile,USA,free,9
C,322,1863,7.65,mobile,DEU,premium,7
A,3906,708,1.25,mobile,CAN,returning_user,21
C,4642,881,33.74,desktop,CAN,premium,2
A,2166,1437,19.02,desktop,BRA,free,11
B,2906,2281,49.83,mobile,BRA,returning_user,1
A,637,1713,42.28,desktop,BRA,free,16
C,568,1323,27.17,mobile,USA,new_user,22
A,3018,1249,28.03,desktop,USA,free,23
A,4225,750,27.25,desktop,DEU,free,22
